SUBDISTRICT,CO,NO2,O3,PM10,PM2.5
Karanpur, 95.247, 94.836, 71.110, 50.959, 54.123
Ganganagar,94.466,90.288,74.671,48.959,48.507
Sadulshahar,94.068,93.342,76.452,54.726,68.493
Padampur,95.247,93.685,73.068,50.808,54.767
Raisinghnagar,95.425,86.301,70.753,41.795,45.959
Anupgarh,94.932,93.247,69.027,31.822,43.0
Gharsana,94.315,92.274,69.712,27.534,41.151
Vijainagar,95.26,91.342,71.411,38.233,46.096
Suratgarh,94.918,91.466,74.767,42.041,50.89
Sangaria,94.356,94.164,78.096,53.315,67.534
Tibi,95.055,90.192,78.082,46.507,52.123
Hanumangarh,94.849,95.219,78.027,50.452,62.753
Pilibanga,94.863,94.082,76.192,47.767,57.781
Rawatsar,94.616,95.178,76.178,44.767,56.11
Nohar,94.671,89.959,76.493,40.781,49.137
Bhadra,93.877,92.027,76.452,39.123,50.863
Bikaner,92.904,81.0,75.123,20.164,35.192
Poogal,93.274,90.274,73.466,23.205,39.863
Lunkaransar,93.0,90.397,72.548,24.63,40.63
Kolayat,92.932,89.384,75.0,21.712,39.096
Nokha,93.027,84.658,74.37,21.233,35.658
Khajuwala,94.082,92.205,69.836,25.712,40.945
Chhatargarh,93.438,90.493,72.836,23.616,40.027
Sridungargarh,92.644,90.658,71.575,25.479,40.918
Taranagar,92.384,91.849,71.671,35.041,45.342
Sardarshahar,91.808,86.534,68.096,30.644,38.589
Churu,91.904,92.178,68.466,33.959,45.603
Ratangarh,91.603,86.562,67.288,32.26,42.274
Sujangarh,92.767,91.411,68.808,32.671,41.74
Jhunjhunun,95.205,92.0,79.438,35.863,41.11
Chirawa,95.685,92.274,83.342,36.26,40.712
Buhana,97.562,92.74,88.233,38.014,41.589
Khetri,97.644,89.877,86.822,37.548,40.342
Nawalgarh,93.808,91.466,74.904,34.836,40.781
Udaipurwati,95.397,91.507,78.452,36.288,39.877
Behror,97.123,84.671,89.041,34.055,36.575
Mandawar,94.603,81.699,89.096,32.329,37.384
Kotkasim,92.89,77.26,90.877,20.493,26.384
Tijara,93.493,89.781,90.918,33.945,46.548
Kishangarh Bas,94.178,82.795,89.37,34.699,42.534
Ramgarh,94.301,75.219,86.466,30.151,37.219
Alwar,94.767,81.342,85.466,42.411,47.301
Bansur,95.342,79.37,86.384,36.534,40.836
Thanagazi,93.219,83.767,80.507,35.795,42.753
Kathumar,90.836,85.055,79.767,30.74,40.342
Pahari,93.521,91.644,88.521,39.822,59.315
Kaman,91.89,89.082,84.521,31.178,44.521
Nagar,91.534,81.151,81.753,29.137,38.466
Deeg,89.986,88.959,79.342,29.89,43.452
Nadbai,89.233,84.151,76.384,27.041,36.164
Kumher,88.575,82.507,75.63,24.712,32.082
Bharatpur,87.918,83.315,74.137,25.055,32.973
Weir,89.452,84.466,75.959,26.973,35.356
Bayana,90.342,86.493,77.904,27.63,34.658
Rupbas,91.425,82.356,84.247,25.767,31.479
Baseri,94.192,91.877,84.918,33.438,35.0
Bari,95.575,89.973,85.753,31.973,31.438
Sepau,95.849,89.589,89.877,39.411,35.699
Dhaulpur,97.466,96.438,88.863,38.329,33.685
Rajakhera,94.0,91.712,90.575,50.562,53.411
Todabhim,88.342,85.082,70.301,26.548,38.26
Nadoti,87.959,83.37,67.068,24.123,34.452
Hindaun,89.973,87.041,73.493,27.082,35.918
Karauli,91.89,89.329,72.685,28.767,35.425
Mandrail,93.26,90.027,75.11,30.26,32.479
Sapotra,92.096,88.658,71.027,26.534,35.233
Gangapur,90.712,88.068,69.603,25.945,36.082
Bamanwas,88.808,87.247,66.767,25.178,37.384
Malarna Doongar,92.863,89.137,70.712,27.397,36.205
Bonli,92.74,89.644,70.315,27.658,37.89
Chauth Ka Barwara,93.89,89.986,71.575,28.041,36.904
Sawai Madhopur,90.082,87.699,69.438,25.767,36.041
Khandar,93.863,89.425,71.945,28.041,35.288
Baswa,89.397,84.014,72.342,29.0,40.822
Mahwa,89.575,84.233,74.521,28.192,38.438
Sikrai,87.123,81.137,66.356,23.521,34.699
Dausa,85.329,85.753,61.945,23.836,38.945
Lalsot,89.11,82.658,66.89,25.288,32.753
Kotputli,96.205,84.0,86.192,36.603,39.219
Viratnagar,93.507,85.63,79.918,35.027,41.027
Chomu,95.068,80.027,79.671,27.836,30.932
Phulera,94.767,89.767,76.644,33.959,35.795
Mauzamabad,94.562,89.685,76.123,33.671,37.041
Phagi,94.425,77.37,76.438,29.685,35.027
Sanganer,94.315,81.301,78.877,34.055,35.767
Jaipur,94.26,66.863,78.918,30.644,34.877
Amber,94.205,77.548,78.603,33.836,36.329
Jamwa Ramgarh,92.575,87.37,75.479,34.671,41.699
Bassi,91.301,78.548,72.658,29.247,37.438
Chaksu,93.219,74.808,74.63,28.753,36.342
Fatehpur,92.123,92.0,69.123,34.685,44.027
Sikar,94.452,91.521,74.192,35.699,39.644
Danta Ramgarh,94.63,90.274,76.63,33.945,36.288
Sri Madhopur,95.342,89.384,81.027,35.123,37.507
Neem Ka Thana,96.644,84.904,84.247,34.082,34.877
Ladnu,93.192,91.74,68.041,33.342,42.219
Didwana,94.356,91.795,67.753,38.466,41.863
Jayal,94.219,90.548,68.151,35.301,40.384
Nagaur,94.041,88.932,68.589,35.192,38.11
Kheenvsar,95.137,89.959,68.959,31.356,40.055
