SUBDISTRICT,DISTRICT,STUNTING
Ajmer,AJMER,35.29904663
Beawar,AJMER,39.18464197
Bhinay,AJMER,39.67742523
Kekri,AJMER,38.1610206
Kishangarh,AJMER,38.38329311
Masuda,AJMER,41.64625984
Nasirabad,AJMER,38.55786817
Peesangan,AJMER,40.85693691
Sarwar,AJMER,39.76701032
Alwar,ALWAR,38.72367677
Bansur,ALWAR,39.52249869
Behror,ALWAR,34.99278999
Kathumar,ALWAR,37.44579454
Kishangarh Bas,ALWAR,41.4840894
Kotkasim,ALWAR,39.37922621
Lachhmangarh,ALWAR,41.15890108
Mandawar,ALWAR,37.60003357
Rajgarh,ALWAR,37.18282672
Ramgarh,ALWAR,42.67835052
Thanagazi,ALWAR,39.36952744
Tijara,ALWAR,42.66034417
Bagidora,BANSWARA,42.56466659
Banswara,BANSWARA,41.3730461
Garhi,BANSWARA,36.25364852
Ghatol,BANSWARA,39.34442585
Kushalgarh,BANSWARA,44.75085951
Antah,BARAN,34.12717426
Atru,BARAN,37.56385276
Baran,BARAN,36.51296778
Chhabra,BARAN,39.95875031
Chhipabarod,BARAN,40.87406683
Kishanganj,BARAN,38.10473964
Mangrol,BARAN,38.16581275
Shahbad,BARAN,37.31231563
Barmer,BARMER,41.8238732
Baytoo,BARMER,43.6068898
Chohtan,BARMER,44.78589248
Gudha Malani,BARMER,43.3582439
Pachpadra,BARMER,41.43173578
Ramsar,BARMER,43.58074089
Sheo,BARMER,40.79024661
Siwana,BARMER,38.67045898
Bayana,BHARATPUR,39.06421815
Bharatpur,BHARATPUR,37.93212111
Deeg,BHARATPUR,38.19735211
Kaman,BHARATPUR,43.81741174
Kumher,BHARATPUR,36.02466525
Nadbai,BHARATPUR,37.09728058
Nagar,BHARATPUR,43.78967635
Pahari,BHARATPUR,45.96307646
Rupbas,BHARATPUR,38.49552497
Weir,BHARATPUR,37.6147489
Asind,BHILWARA,40.87594879
Banera,BHILWARA,38.46423884
Beejoliya,BHILWARA,39.4458787
Bhilwara,BHILWARA,40.09277948
Hurda,BHILWARA,39.30231085
Jahazpur,BHILWARA,40.39042885
Kotri,BHILWARA,43.3933442
Mandal,BHILWARA,41.73634447
Mandalgarh,BHILWARA,40.92787806
Raipur,BHILWARA,39.95830549
Sahara,BHILWARA,38.36185729
Shahpura,BHILWARA,40.12199706
Bikaner,BIKANER,38.71615623
Chhatargarh,BIKANER,43.38211343
Khajuwala,BIKANER,39.84422349
Kolayat,BIKANER,39.55237498
Lunkaransar,BIKANER,41.00238658
Nokha,BIKANER,37.82648217
Poogal,BIKANER,44.30899853
Sridungargarh,BIKANER,37.56776424
Bundi,BUNDI,40.44729159
Hindoli,BUNDI,40.91725545
Indragarh,BUNDI,39.75072172
Keshoraipatan,BUNDI,38.28266839
Nainwa,BUNDI,41.81844748
Bari Sadri,CHITTAURGARH,39.89218234
Begun,CHITTAURGARH,40.68632161
Bhadesar,CHITTAURGARH,40.38392339
Chittaurgarh,CHITTAURGARH,40.90585346
Dungla,CHITTAURGARH,40.15192779
Gangrar,CHITTAURGARH,41.55028257
Kapasan,CHITTAURGARH,39.51438975
Nimbahera,CHITTAURGARH,38.97988161
Rashmi,CHITTAURGARH,38.77403388
Rawatbhata,CHITTAURGARH,40.54761971
Churu,CHURU,36.22514228
Rajgarh,CHURU,37.65702979
Ratangarh,CHURU,35.50125065
Sardarshahar,CHURU,39.69209602
Sujangarh,CHURU,36.95011554
Taranagar,CHURU,36.55316762
Baswa,DAUSA,39.23030807
Dausa,DAUSA,37.71043968
Lalsot,DAUSA,37.8978822
Mahwa,DAUSA,38.06556425
Sikrai,DAUSA,37.2077287
Bari,DHAULPUR,41.77940169
Baseri,DHAULPUR,42.24437958
Dhaulpur,DHAULPUR,41.38218135
Rajakhera,DHAULPUR,39.8751856
Sepau,DHAULPUR,39.80813013
Aspur,DUNGARPUR,35.38107935
Dungarpur,DUNGARPUR,35.45222538
Sagwara,DUNGARPUR,36.29603993
Simalwara,DUNGARPUR,36.49823716
Anupgarh,GANGANAGAR,37.10195465
Ganganagar,GANGANAGAR,35.19347964
Gharsana,GANGANAGAR,36.44053802
Karanpur,GANGANAGAR,34.08338872
Padampur,GANGANAGAR,35.41258882
Raisinghnagar,GANGANAGAR,36.47999709
Sadulshahar,GANGANAGAR,35.43768304
Suratgarh,GANGANAGAR,38.7840012
Vijainagar,GANGANAGAR,38.52950021
Bhadra,HANUMANGARH,35.9269012
Hanumangarh,HANUMANGARH,36.97844085
Nohar,HANUMANGARH,36.64761754
Pilibanga,HANUMANGARH,35.77303898
Rawatsar,HANUMANGARH,37.0176589
Sangaria,HANUMANGARH,35.44827523
Tibi,HANUMANGARH,35.68572036
Amber,JAIPUR,38.25610997
Bassi,JAIPUR,38.63598611
Chaksu,JAIPUR,40.05639042
Chomu,JAIPUR,35.67705999
Jaipur,JAIPUR,37.67112727
Jamwa Ramgarh,JAIPUR,38.24394366
Kotputli,JAIPUR,38.88268371
Mauzamabad,JAIPUR,39.42035805
Phagi,JAIPUR,41.24953812
Phulera,JAIPUR,37.5459294
Sanganer,JAIPUR,38.30765558
Shahpura,JAIPUR,37.32549317
Viratnagar,JAIPUR,40.70987643
Fatehgarh,JAISALMER,39.29472991
Jaisalmer,JAISALMER,38.94680423
Pokaran,JAISALMER,39.63538466
Ahore,JALOR,37.32686302
Bagora,JALOR,38.55900969
Bhinmal,JALOR,37.71271098
Jalor,JALOR,36.50518491
Raniwara,JALOR,41.08550197
Sanchore,JALOR,44.13372545
Sayla,JALOR,36.6032868
Aklera,JHALAWAR,42.28548887
Gangdhar,JHALAWAR,41.75876074
Jhalrapatan,JHALAWAR,39.2724508
Khanpur,JHALAWAR,36.71690409
Manohar Thana,JHALAWAR,43.41459399
Pachpahar,JHALAWAR,39.0401429
Pirawa,JHALAWAR,38.97162155
Buhana,JHUNJHUNUN,33.8953231
Chirawa,JHUNJHUNUN,35.77678149
Jhunjhunun,JHUNJHUNUN,36.8955543
Khetri,JHUNJHUNUN,35.02961452
Nawalgarh,JHUNJHUNUN,33.75953798
Udaipurwati,JHUNJHUNUN,33.77768633
Bhopalgarh,JODHPUR,35.96334313
Bilara,JODHPUR,36.23690921
Jodhpur,JODHPUR,36.79282682
Luni,JODHPUR,38.19999392
Osian,JODHPUR,40.52689252
Phalodi,JODHPUR,41.92408828
Shergarh,JODHPUR,42.06579834
Hindaun,KARAULI,38.66319215
Karauli,KARAULI,40.09466817
Mandrail,KARAULI,38.72654969
Nadoti,KARAULI,36.57938404
Sapotra,KARAULI,38.51610332
Todabhim,KARAULI,38.03143095
Digod,KOTA,35.59161629
Ladpura,KOTA,37.55495636
Pipalda,KOTA,37.61191267
Ramganj Mandi,KOTA,38.68896801
Sangod,KOTA,36.55371672
Degana,NAGAUR,37.45561357
Didwana,NAGAUR,36.00775497
Jayal,NAGAUR,37.20174686
Kheenvsar,NAGAUR,38.7984198
Ladnu,NAGAUR,34.24031847
Makrana,NAGAUR,38.75130469
Merta,NAGAUR,36.93401305
Nagaur,NAGAUR,36.58184302
Nawa,NAGAUR,40.00173906
Parbatsar,NAGAUR,38.98549687
Bali,PALI,38.32569547
Desuri,PALI,36.33486757
Jaitaran,PALI,38.60204811
Marwar Junction,PALI,36.87884232
Pali,PALI,35.70134413
Raipur,PALI,40.6796757
Rohat,PALI,36.87377059
Sojat,PALI,36.70746746
Sumerpur,PALI,36.9966276
Arnod,PRATAPGARH,40.18783657
Chhoti Sadri,PRATAPGARH,39.72491337
Dhariawad,PRATAPGARH,43.36093657
Peepalkhoont,PRATAPGARH,43.82353531
Pratapgarh,PRATAPGARH,39.77044538
Amet,RAJSAMAND,40.87538123
Bhim,RAJSAMAND,39.029408
Deogarh,RAJSAMAND,39.86637896
Kumbhalgarh,RAJSAMAND,41.35480259
Nathdwara,RAJSAMAND,39.05514296
Railmagra,RAJSAMAND,38.06026052
Rajsamand,RAJSAMAND,40.26815094
Bamanwas,SAWAI MADHOPUR,36.84437669
Bonli,SAWAI MADHOPUR,38.39194485
Chauth Ka Barwara,SAWAI MADHOPUR,39.28374836
Gangapur,SAWAI MADHOPUR,37.40739091
Khandar,SAWAI MADHOPUR,39.20213688
Malarna Doongar,SAWAI MADHOPUR,35.91792765
Sawai Madhopur,SAWAI MADHOPUR,37.37780165
Danta Ramgarh,SIKAR,38.11530523
Fatehpur,SIKAR,33.90277439
Lachhmangarh,SIKAR,35.41150727
Neem Ka Thana,SIKAR,36.85487324
Sikar,SIKAR,35.43005988
Sri Madhopur,SIKAR,36.59599182
Abu Road,SIROHI,42.64862465
Pindwara,SIROHI,41.02644083
Reodar,SIROHI,40.47372635
Sheoganj,SIROHI,37.20449278
Sirohi,SIROHI,36.65650017
Deoli,TONK,39.618593
Malpura,TONK,38.55237473
Niwai,TONK,38.17288822
Peeplu,TONK,38.38224104
Todaraisingh,TONK,38.81300126
Tonk,TONK,37.78590953
Uniara,TONK,37.92200585
Girwa,UDAIPUR,40.11092881
Gogunda,UDAIPUR,40.03874906
Jhadol,UDAIPUR,40.2925572
Kherwara,UDAIPUR,35.16895068
Kotra,UDAIPUR,44.88623939
Lasadiya,UDAIPUR,43.59949285
Mavli,UDAIPUR,38.91281544
Rishabdeo,UDAIPUR,36.42339599
Salumbar,UDAIPUR,41.1825371
Sarada,UDAIPUR,37.08537717
Vallabhnagar,UDAIPUR,39.79870601
