Subdistrict,Stunting
Masuda,41.42468227
Jhunjhunun,38.44595369
Peesangan,39.61122993
Bhim,39.23678287
Kishangarh,38.08811381
Fatehpur,37.31588275
Lachhmangarh,38.70634987
Lachhmangarh,38.70634987
Beawar,38.77351803
Kheenvsar,39.28482116
Taranagar,39.25606541
Sarwar,38.55555715
Kekri,37.34100428
Bhinay,38.94005742
Kishangarh Bas,41.28663161
Nasirabad,40.29945271
Nawalgarh,36.5182254
Chirawa,38.60020489
Phagi,41.17102113
Rajgarh,38.58323324
Rajgarh,38.58323324
Merta,37.52059112
Ajmer,34.88425478
Buhana,36.51781655
Amber,38.79608973
Sri Madhopur,38.09683168
Nawa,40.12367694
Phulera,37.88710764
Raipur,40.48344301
Raipur,40.48344301
Nagar,42.17810555
Kolayat,39.28366682
Churu,36.43390959
Nadoti,35.80404504
Poogal,42.67426093
Sikar,37.28830124
Suratgarh,39.26915507
Kathumar,38.22200629
Danta Ramgarh,39.24767425
Malpura,38.8181916
Sardarshahar,39.62503155
Khetri,38.6647943
Osian,40.72972246
Rajakhera,40.2326252
Mauzamabad,39.82161247
Pokaran,39.06775245
Bilara,36.54555453
Sujangarh,37.39987825
Phalodi,42.27807265
Jayal,37.19651202
Kotkasim,38.24095313
Ratangarh,37.52180302
Fatehgarh,38.99438433
Mandrail,39.46393949
Lunkaransar,41.05520612
Didwana,36.96350696
Mandawar,38.19628115
Degana,37.17037643
Nagaur,36.78699998
Kotputli,38.70123986
Makrana,38.18026902
Jodhpur,36.99068352
Jaitaran,38.88352539
Neem Ka Thana,38.13357903
Parbatsar,39.68954975
Lalsot,37.34154265
Jamwa Ramgarh,38.05119086
Bassi,39.37073958
Tijara,40.66876262
Sepau,40.40913583
Uniara,37.73972837
Jaisalmer,38.92732263
Niwai,38.36132523
Tonk,37.85299143
Sikrai,37.22332078
Chaksu,40.21511632
Baswa,39.67862034
Chomu,36.51225775
Nokha,38.2027739
Alwar,38.84505571
Peeplu,38.42843529
Bansur,40.0843253
Ramsar,43.75688246
Thanagazi,39.93407147
Kaman,41.89387981
Khandar,39.00122578
Weir,36.85732303
Bayana,39.20056013
Chauth Ka Barwara,37.00229364
Bhopalgarh,35.59333025
Karauli,40.37326431
Chhatargarh,43.11798798
Shergarh,41.98815181
Raisinghnagar,37.03113025
Bari,41.5690194
Asind,41.57148842
Ramgarh,42.5353603
Deeg,38.74900706
Jaipur,37.41299023
Mandal,41.69107773
Behror,35.3721677
Pahari,43.91749748
Bhinmal,37.08563303
Udaipurwati,36.2416866
Viratnagar,39.66236706
Jhalrapatan,39.81992489
Kumher,35.64233409
Vijainagar,38.4641464
Rawatsar,37.31621806
Ladnu,35.03560789
Kushalgarh,44.61230292
Bagidora,42.83661542
Ghatol,39.1797686
Garhi,36.7788257
Banswara,41.68942329
Dhariawad,44.1054063
Nainwa,41.04902702
Aspur,35.89460672
Dungarpur,34.73748672
Dausa,36.85131822
Bhadesar,40.53463435
Gudha Malani,43.37216319
Peepalkhoont,43.02848565
Sagwara,36.38010728
Indragarh,39.22480102
Kherwara,34.896616
Abu Road,41.47244431
Ladpura,38.8681487
Sojat,36.27270082
Todaraisingh,38.59221539
Pipalda,37.86032693
Railmagra,37.25519216
Pratapgarh,39.95624943
Kapasan,38.85478276
Lasadiya,43.7325888
Gangrar,39.86647222
Kotra,44.53919038
Sheo,40.0181536
Shahpura,38.5217065
Shahpura,38.5217065
Digod,36.65078692
Chohtan,44.5390711
Vallabhnagar,39.46187487
Arnod,39.689829
Gogunda,40.67029528
Shahbad,37.77855463
Ramganj Mandi,38.70344526
Luni,38.5316487
Kotri,42.50598385
