Subdistrict,Underweight
Masuda,41.00267075
Jhunjhunun,35.49681096
Peesangan,40.10200084
Bhim,43.27539378
Kishangarh,38.65054734
Fatehpur,36.54427844
Lachhmangarh,36.30364078
Lachhmangarh,36.30364078
Beawar,40.21400889
Kheenvsar,39.31549421
Taranagar,36.73218559
Sarwar,38.01288221
Kekri,37.87247838
Bhinay,38.72428987
Kishangarh Bas,39.71533557
Nasirabad,41.59866615
Nawalgarh,32.43854485
Chirawa,36.23357787
Phagi,38.73701955
Rajgarh,36.92572637
Rajgarh,36.92572637
Merta,37.50741774
Ajmer,35.48544829
Buhana,33.13750305
Amber,34.76015145
Sri Madhopur,35.60475322
Nawa,38.0488287
Phulera,36.40047879
Raipur,39.56639983
Raipur,39.56639983
Nagar,38.76570762
Kolayat,36.59207111
Churu,33.75519299
Nadoti,34.39506448
Poogal,37.16850049
Sikar,34.34611973
Suratgarh,35.65296723
Kathumar,37.51508064
Danta Ramgarh,36.26671919
Malpura,37.85183904
Sardarshahar,36.42976732
Khetri,36.22400684
Osian,38.73713612
Rajakhera,36.47761201
Mauzamabad,38.71950646
Pokaran,40.57589313
Bilara,35.99572662
Sujangarh,36.77657917
Phalodi,41.86052604
Jayal,35.75948618
Kotkasim,37.47799099
Ratangarh,35.27076844
Fatehgarh,39.9629326
Mandrail,37.45197648
Lunkaransar,37.36518342
Didwana,37.08047674
Mandawar,35.1605527
Degana,36.33528436
Nagaur,35.3423133
Kotputli,35.20636008
Makrana,36.16778944
Jodhpur,37.88218592
Jaitaran,39.54816733
Neem Ka Thana,35.25454623
Parbatsar,39.70108213
Lalsot,35.62418351
Jamwa Ramgarh,36.92449873
Bassi,37.13483804
Tijara,38.75959613
Sepau,39.83563631
Uniara,36.61495978
Jaisalmer,35.57946795
Niwai,37.45481233
Tonk,36.71584466
Sikrai,35.75890212
Chaksu,37.00284433
Baswa,37.80856347
Chomu,33.41903056
Nokha,36.27108215
Alwar,35.53712744
Peeplu,35.18175431
Bansur,37.79072198
Ramsar,43.34486875
Thanagazi,40.000891
Kaman,38.59822516
Khandar,36.58478521
Weir,35.93985312
Bayana,37.00432341
Chauth Ka Barwara,35.48446586
Bhopalgarh,35.84709373
Karauli,39.52603645
Chhatargarh,40.15577936
Shergarh,41.64701
Raisinghnagar,35.57949478
Bari,39.99672694
Asind,42.5071982
Ramgarh,39.94019559
Deeg,35.78500473
Jaipur,30.25522857
Mandal,41.28421887
Behror,31.14443675
Pahari,42.2731888
Bhinmal,36.93899793
Udaipurwati,33.38360628
Viratnagar,36.54337902
Jhalrapatan,39.59896347
Kumher,34.17885101
Vijainagar,34.60189465
Rawatsar,31.82137479
Ladnu,34.97044898
Kushalgarh,46.95101409
Bagidora,45.9559822
Ghatol,42.67928502
Garhi,39.40600053
Banswara,45.59599192
Dhariawad,49.67104452
Nainwa,40.47349085
Aspur,41.50979547
Dungarpur,43.49045816
Dausa,36.37046164
Bhadesar,38.35380398
Gudha Malani,42.32527701
Peepalkhoont,40.91630823
Sagwara,41.80223412
Indragarh,39.339512
Kherwara,43.08105289
Abu Road,45.60240314
Ladpura,38.23671977
Sojat,38.28101431
Todaraisingh,36.44250723
Pipalda,39.71118317
Railmagra,37.47963797
Pratapgarh,41.01141214
Kapasan,38.07123239
Lasadiya,45.41406082
Gangrar,36.14253573
Kotra,47.86747882
Sheo,43.55957352
Shahpura,36.75686753
