SUBDISTRICT,DISTRICT,Predicted Underweight (%)
Ganganagar,GANGANAGAR,31.45917042961404
Karanpur,GANGANAGAR,33.467701151613895
Sadulshahar,GANGANAGAR,27.872339141840936
Sangaria,HANUMANGARH,27.186800031315332
Padampur,GANGANAGAR,33.151988133909214
Hanumangarh,HANUMANGARH,32.30467484822158
Tibi,HANUMANGARH,29.33768664867526
Raisinghnagar,GANGANAGAR,34.76003630940095
Pilibanga,HANUMANGARH,30.3946350453015
Suratgarh,GANGANAGAR,34.514808630583694
Vijainagar,GANGANAGAR,34.47945091750591
Nohar,HANUMANGARH,27.76298878597686
Anupgarh,GANGANAGAR,33.606521699136906
Rawatsar,HANUMANGARH,30.493179925602544
Bhadra,HANUMANGARH,28.032208752539923
Gharsana,GANGANAGAR,32.71286920884606
Lunkaransar,BIKANER,35.8660154510289
Chhatargarh,BIKANER,39.59112666547294
Rajgarh,CHURU,34.05874159578315
Taranagar,CHURU,30.722753417883343
Khajuwala,BIKANER,37.10279130205812
Sardarshahar,CHURU,36.100671971949254
Poogal,BIKANER,37.9095020159235
Churu,CHURU,31.555458367326995
Chirawa,JHUNJHUNUN,31.33242689184669
Jhunjhunun,JHUNJHUNUN,32.04961809806703
Bikaner,BIKANER,36.902941213311394
Kolayat,BIKANER,35.77480237409854
Sridungargarh,BIKANER,34.42176859825845
Buhana,JHUNJHUNUN,28.87789500528011
Ratangarh,CHURU,32.172576126493006
Tijara,ALWAR,39.556137338210014
Fatehpur,SIKAR,33.264196013647364
Behror,ALWAR,29.842146948882984
Kotkasim,ALWAR,37.90172785520549
Khetri,JHUNJHUNUN,30.186886080865065
Nawalgarh,JHUNJHUNUN,27.804180746427647
Udaipurwati,JHUNJHUNUN,29.029180209447652
Mandawar,ALWAR,33.58375939565731
Jaisalmer,JAISALMER,34.779762600858966
Sujangarh,CHURU,36.20078731058296
Nokha,BIKANER,35.39552299916973
Pokaran,JAISALMER,41.370410515257106
Lachhmangarh,SIKAR,32.499356562612725
Kishangarh Bas,ALWAR,39.96641771109011
Neem Ka Thana,SIKAR,32.87533492895591
Kotputli,JAIPUR,32.7806282299952
Bansur,ALWAR,36.525381093516025
Sikar,SIKAR,30.742384372062407
Kaman,BHARATPUR,38.980900731172596
Pahari,BHARATPUR,44.468130165290404
Ramgarh,ALWAR,39.9411762754122
Alwar,ALWAR,34.70408450357793
Sri Madhopur,SIKAR,32.04392489617459
Ladnu,NAGAUR,34.429154365227106
Nagar,BHARATPUR,38.68987909913837
Phalodi,JODHPUR,41.553762861020154
Thanagazi,ALWAR,39.54774459311059
Deeg,BHARATPUR,34.95433188307848
Danta Ramgarh,SIKAR,32.507030820915425
Nagaur,NAGAUR,34.770437055963164
Viratnagar,JAIPUR,35.47317019917743
Shahpura,JAIPUR,32.21795519053092
Lachhmangarh,ALWAR,38.010565204353135
Jayal,NAGAUR,35.04501906253633
Didwana,NAGAUR,35.51283198632767
Kathumar,ALWAR,37.06577379703516
Kumher,BHARATPUR,33.922902018833526
Nawa,NAGAUR,37.09595377246534
Chomu,JAIPUR,30.46649688993517
Rajgarh,ALWAR,35.809845595792325
Nadbai,BHARATPUR,34.90314213820146
Kheenvsar,NAGAUR,38.23411231860514
Bharatpur,BHARATPUR,35.3158263152981
Phulera,JAIPUR,35.199662203197896
Jamwa Ramgarh,JAIPUR,36.510490222196786
Amber,JAIPUR,32.903158360985394
Makrana,NAGAUR,36.33001730419118
Mahwa,DAUSA,38.08788319951605
Weir,BHARATPUR,35.96564840910759
Baswa,DAUSA,36.38302744095204
Rupbas,BHARATPUR,36.53113960771628
Bayana,BHARATPUR,37.23546489079789
Osian,JODHPUR,38.336553719014844
Degana,NAGAUR,36.12658172845836
Dausa,DAUSA,36.53985339908568
Parbatsar,NAGAUR,38.52531680084285
Jaipur,JAIPUR,30.13075311426759
Sikrai,DAUSA,35.224700838327365
Todabhim,KARAULI,35.396073418943274
Bassi,JAIPUR,36.49557768884628
Kishangarh,AJMER,38.111212479888906
Rajakhera,DHAULPUR,36.38706330699146
Sepau,DHAULPUR,39.24308758006132
Dhaulpur,DHAULPUR,39.89368646767485
Mauzamabad,JAIPUR,37.82012654611694
Sanganer,JAIPUR,34.16326364566535
Bhopalgarh,JODHPUR,35.502004623413036
Fatehgarh,JAISALMER,39.866956709711594
Nadoti,KARAULI,35.23202971037887
Hindaun,KARAULI,39.61934479734585
Merta,NAGAUR,36.32355135989322
Shergarh,JODHPUR,41.729756296451036
Baseri,DHAULPUR,39.85308018468671
